"Occupation Title","Occupation Code","Occupation Type","2022 Employment","2022 Percent of Industry","2022 Percent of Occupation","Projected 2032 Employment","Projected 2032 Percent of Industry","Projected 2032 Percent of Occupation","Employment Change, 2022-2032","Employment Percent Change, 2022-2032","Occupation Sort","Display Level"
"Computer systems analysts","=""15-1211""","Line Item","8.5","0.8","1.6","8.7","0.8","1.5","0.1","1.7","95","4"
"Information security analysts","=""15-1212""","Line Item","3.0","0.3","1.8","3.6","0.3","1.6","0.6","20.0","96","4"
"Computer and information research scientists","=""15-1221""","Line Item","0.8","0.1","2.1","0.9","0.1","2.1","0.2","21.1","97","3"
"Computer support specialists","=""15-1230""","Summary","10.3","1.0","1.1","10.2","0.9","1.1","-0.2","-1.9","98","3"
"Computer network support specialists","=""15-1231""","Line Item","2.2","0.2","1.2","2.2","0.2","1.2","0.0","1.9","99","4"
"Computer user support specialists","=""15-1232""","Line Item","8.2","0.7","1.1","7.9","0.7","1.0","-0.2","-2.9","100","4"
"Database and network administrators and architects","=""15-1240""","Summary","11.0","1.0","1.6","10.7","1.0","1.5","-0.3","-2.8","101","3"
"Computer network architects","=""15-1241""","Line Item","3.5","0.3","1.9","3.4","0.3","1.8","-0.1","-3.8","102","4"
"Database administrators","=""15-1242""","Line Item","0.9","0.1","1.0","0.9","0.1","1.0","0.0","1.2","103","4"
"Database architects","=""15-1243""","Line Item","0.4","0.0","0.7","0.5","0.0","0.6","0.0","2.5","104","4"
"Network and computer systems administrators","=""15-1244""","Line Item","6.1","0.6","1.8","5.9","0.5","1.7","-0.2","-3.2","105","4"
"Software and web developers, programmers, and testers","=""15-1250""","Summary","96.5","8.9","4.5","111.0","9.9","4.2","14.5","15.0","106","3"
"Computer programmers","=""15-1251""","Line Item","3.8","0.3","2.6","3.3","0.3","2.5","-0.5","-13.7","107","4"
"Software developers","=""15-1252""","Line Item","80.7","7.4","5.1","94.3","8.4","4.7","13.6","16.9","108","4"
"Software quality assurance analysts and testers","=""15-1253""","Line Item","9.7","0.9","4.8","10.9","1.0","4.5","1.2","12.1","109","4"
"Web developers","=""15-1254""","Line Item","0.9","0.1","0.9","0.9","0.1","0.8","0.1","9.7","110","4"
"Web and digital interface designers","=""15-1255""","Line Item","1.5","0.1","1.2","1.6","0.1","1.2","0.2","11.4","111","4"
"Computer occupations, all other","=""15-1299""","Line Item","8.8","0.8","2.0","8.9","0.8","1.8","0.1","0.9","112","3"
"Mathematical science occupations","=""15-2000""","Summary","3.7","0.3","1.1","4.5","0.4","1.0","0.8","22.2","113","2"
"Operations research analysts","=""15-2031""","Line Item","1.3","0.1","1.2","1.5","0.1","1.2","0.2","16.5","116","3"
"Statisticians","=""15-2041""","Line Item","0.1","0.0","0.4","0.2","0.0","0.4","0.0","31.0","117","3"
"Data scientists","=""15-2051""","Line Item","2.2","0.2","1.3","2.8","0.2","1.2","0.6","25.4","118","3"
"Architecture and engineering occupations","=""17-0000""","Summary","201.8","18.5","7.7","212.6","19.0","7.7","10.9","5.4","120","1"
"Engineers","=""17-2000""","Summary","151.4","13.9","8.7","163.1","14.6","8.8","11.7","7.7","128","2"
"Aerospace engineers","=""17-2011""","Line Item","4.4","0.4","6.9","4.5","0.4","6.6","0.0","0.7","129","3"
"Bioengineers and biomedical engineers","=""17-2031""","Line Item","1.2","0.1","6.0","1.2","0.1","5.7","0.0","0.8","131","3"
"Chemical engineers","=""17-2041""","Line Item","0.7","0.1","3.3","0.7","0.1","3.1","0.0","1.7","132","3"
"Civil engineers","=""17-2051""","Line Item","0.9","0.1","0.3","1.0","0.1","0.3","0.0","1.1","133","3"
"Computer hardware engineers","=""17-2061""","Line Item","21.4","2.0","27.4","22.5","2.0","27.5","1.1","5.0","134","3"
"Electrical and electronics engineers","=""17-2070""","Summary","48.2","4.4","16.1","50.7","4.5","16.1","2.6","5.3","135","3"
"Electrical engineers","=""17-2071""","Line Item","26.0","2.4","13.7","27.5","2.5","14.0","1.5","5.8","136","4"
"Electronics engineers, except computer","=""17-2072""","Line Item","22.2","2.0","20.0","23.3","2.1","19.6","1.1","4.9","137","4"
"Environmental engineers","=""17-2081""","Line Item","0.2","0.0","0.3","0.2","0.0","0.3","0.0","6.5","138","3"
"Industrial engineers, including health and safety","=""17-2110""","Summary","39.0","3.6","11.2","44.2","4.0","11.4","5.2","13.2","139","3"
"Health and safety engineers, except mining safety engineers and inspectors","=""17-2111""","Line Item","0.5","0.1","2.5","0.6","0.1","2.5","0.0","5.3","140","4"
"Industrial engineers","=""17-2112""","Line Item","38.5","3.5","11.8","43.6","3.9","11.9","5.1","13.3","141","4"
"Materials engineers","=""17-2131""","Line Item","2.8","0.3","12.5","3.0","0.3","12.7","0.2","6.4","143","3"
"Mechanical engineers","=""17-2141""","Line Item","21.0","1.9","7.3","23.3","2.1","7.4","2.3","10.7","144","3"
"Nuclear engineers","=""17-2161""","Line Item","0.1","0.0","0.6","0.1","0.0","0.6","0.0","3.4","146","3"
"Engineers, all other","=""17-2199""","Line Item","11.5","1.1","6.8","11.9","1.1","6.7","0.3","2.9","148","3"
"Drafters, engineering technicians, and mapping technicians","=""17-3000""","Summary","50.3","4.6","7.6","49.5","4.4","7.4","-0.8","-1.6","149","2"
"Drafters","=""17-3010""","Summary","3.7","0.3","1.9","3.6","0.3","1.9","-0.1","-1.7","150","3"
"Architectural and civil drafters","=""17-3011""","Line Item","0.1","0.0","0.0","0.1","0.0","0.0","0.0","1.3","151","4"
"Electrical and electronics drafters","=""17-3012""","Line Item","1.8","0.2","8.4","1.9","0.2","8.7","0.1","4.2","152","4"
"Mechanical drafters","=""17-3013""","Line Item","1.6","0.1","3.3","1.5","0.1","3.2","-0.1","-7.8","153","4"
"Drafters, all other","=""17-3019""","Line Item","0.2","0.0","1.0","0.2","0.0","1.0","0.0","-7.0","154","4"
"Engineering technologists and technicians, except drafters","=""17-3020""","Summary","46.6","4.3","11.6","45.9","4.1","11.2","-0.7","-1.6","155","3"
"Aerospace engineering and operations technologists and technicians","=""17-3021""","Line Item","0.7","0.1","6.9","0.7","0.1","6.7","0.0","5.7","156","4"
"Civil engineering technologists and technicians","=""17-3022""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","3.3","157","4"
"Electrical and electronic engineering technologists and technicians","=""17-3023""","Line Item","23.9","2.2","23.3","22.4","2.0","21.7","-1.5","-6.1","158","4"
"Electro-mechanical and mechatronics technologists and technicians","=""17-3024""","Line Item","2.0","0.2","13.4","1.9","0.2","13.1","-0.1","-4.9","159","4"
"Environmental engineering technologists and technicians","=""17-3025""","Line Item","0.1","0.0","0.6","0.1","0.0","0.6","0.0","-0.3","160","4"
"Industrial engineering technologists and technicians","=""17-3026""","Line Item","12.1","1.1","17.5","12.8","1.1","17.9","0.7","5.8","161","4"
"Mechanical engineering technologists and technicians","=""17-3027""","Line Item","2.9","0.3","7.0","2.8","0.2","6.7","-0.1","-2.9","162","4"
"Calibration technologists and technicians","=""17-3028""","Line Item","0.9","0.1","8.1","0.9","0.1","7.8","0.0","1.3","163","4"
"Engineering technologists and technicians, except drafters, all other","=""17-3029""","Line Item","4.0","0.4","5.4","4.2","0.4","5.5","0.2","3.9","164","4"
"Life, physical, and social science occupations","=""19-0000""","Summary","7.8","0.7","0.5","8.1","0.7","0.5","0.3","3.4","166","1"
"Life scientists","=""19-1000""","Summary","1.3","0.1","0.4","1.3","0.1","0.4","0.0","1.0","167","2"
"Biological scientists","=""19-1020""","Summary","1.0","0.1","0.7","1.0","0.1","0.7","0.0","0.9","172","3"
"Biochemists and biophysicists","=""19-1021""","Line Item","0.2","0.0","0.6","0.2","0.0","0.5","0.0","0.8","173","4"
"Microbiologists","=""19-1022""","Line Item","0.2","0.0","0.9","0.2","0.0","0.9","0.0","1.2","174","4"
"Biological scientists, all other","=""19-1029""","Line Item","0.6","0.1","0.9","0.6","0.1","0.9","0.0","0.8","176","4"
"Medical scientists","=""19-1040""","Summary","0.3","0.0","0.2","0.3","0.0","0.2","0.0","1.0","180","3"
"Medical scientists, except epidemiologists","=""19-1042""","Line Item","0.3","0.0","0.2","0.3","0.0","0.2","0.0","1.0","182","4"
"Physical scientists","=""19-2000""","Summary","3.3","0.3","1.2","3.4","0.3","1.2","0.1","2.1","184","2"
"Astronomers and physicists","=""19-2010""","Summary","0.4","0.0","1.7","0.4","0.0","1.6","0.0","2.1","185","3"
"Physicists","=""19-2012""","Line Item","0.4","0.0","1.9","0.4","0.0","1.8","0.0","2.1","187","4"
"Chemists and materials scientists","=""19-2030""","Summary","2.1","0.2","2.2","2.1","0.2","2.1","0.1","2.5","189","3"
"Chemists","=""19-2031""","Line Item","1.7","0.2","1.9","1.7","0.2","1.8","0.0","2.1","190","4"
"Materials scientists","=""19-2032""","Line Item","0.4","0.0","5.3","0.4","0.0","5.3","0.0","4.2","191","4"
"Environmental scientists and geoscientists","=""19-2040""","Summary","0.1","0.0","0.0","0.1","0.0","0.0","0.0","0.8","192","3"
"Environmental scientists and specialists, including health","=""19-2041""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","0.8","193","4"
"Physical scientists, all other","=""19-2099""","Line Item","0.7","0.1","2.9","0.7","0.1","2.9","0.0","0.8","196","3"
"Life, physical, and social science technicians","=""19-4000""","Summary","2.3","0.2","0.6","2.4","0.2","0.6","0.1","2.5","213","2"
"Biological technicians","=""19-4021""","Line Item","0.1","0.0","0.2","0.1","0.0","0.2","0.0","0.8","217","3"
"Chemical technicians","=""19-4031""","Line Item","1.8","0.2","3.1","1.9","0.2","3.1","0.0","2.6","218","3"
"Miscellaneous life, physical, and social science technicians","=""19-4090""","Summary","0.4","0.0","0.4","0.4","0.0","0.4","0.0","3.2","226","3"
"Life, physical, and social science technicians, all other","=""19-4099""","Line Item","0.4","0.0","0.4","0.4","0.0","0.4","0.0","3.2","228","4"
"Occupational health and safety specialists and technicians","=""19-5000""","Summary","0.9","0.1","0.6","1.0","0.1","0.6","0.1","14.4","229","2"
"Occupational health and safety specialists","=""19-5011""","Line Item","0.7","0.1","0.6","0.8","0.1","0.6","0.1","16.0","230","3"
"Occupational health and safety technicians","=""19-5012""","Line Item","0.2","0.0","0.7","0.2","0.0","0.7","0.0","7.6","231","3"
"Legal occupations","=""23-0000""","Summary","2.5","0.2","0.2","2.7","0.2","0.2","0.2","6.7","255","1"
"Lawyers, judges, and related workers","=""23-1000""","Summary","2.0","0.2","0.2","2.1","0.2","0.2","0.2","7.9","256","2"
"Lawyers and judicial law clerks","=""23-1010""","Summary","2.0","0.2","0.2","2.1","0.2","0.2","0.2","7.9","257","3"
"Lawyers","=""23-1011""","Line Item","2.0","0.2","0.2","2.1","0.2","0.2","0.2","7.9","258","4"
"Legal support workers","=""23-2000""","Summary","0.6","0.1","0.1","0.6","0.1","0.1","0.0","2.2","264","2"
"Paralegals and legal assistants","=""23-2011""","Line Item","0.4","0.0","0.1","0.4","0.0","0.1","0.0","2.5","265","3"
"Miscellaneous legal support workers","=""23-2090""","Summary","0.2","0.0","0.1","0.2","0.0","0.1","0.0","1.6","266","3"
"Legal support workers, all other","=""23-2099""","Line Item","0.2","0.0","0.3","0.2","0.0","0.3","0.0","1.7","268","4"
"Educational instruction and library occupations","=""25-0000""","Summary","0.1","0.0","0.0","0.1","0.0","0.0","0.0","1.3","269","1"
"Other educational instruction and library occupations","=""25-9000""","Summary","0.1","0.0","0.0","0.1","0.0","0.0","0.0","1.2","348","2"
"Instructional coordinators","=""25-9031""","Line Item","0.1","0.0","0.0","0.1","0.0","0.0","0.0","1.2","350","3"
"Arts, design, entertainment, sports, and media occupations","=""27-0000""","Summary","7.1","0.7","0.2","6.9","0.6","0.2","-0.2","-3.4","355","1"
"Art and design workers","=""27-1000""","Summary","2.6","0.2","0.3","2.5","0.2","0.2","-0.1","-2.5","356","2"
"Artists and related workers","=""27-1010""","Summary","0.3","0.0","0.1","0.3","0.0","0.1","0.0","-4.4","357","3"
"Art directors","=""27-1011""","Line Item","0.2","0.0","0.1","0.2","0.0","0.1","0.0","-3.1","358","4"
"Special effects artists and animators","=""27-1014""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","-7.8","361","4"
"Designers","=""27-1020""","Summary","2.3","0.2","0.3","2.2","0.2","0.3","-0.1","-2.3","363","3"
"Commercial and industrial designers","=""27-1021""","Line Item","0.8","0.1","2.6","0.8","0.1","2.5","0.0","0.5","364","4"
"Graphic designers","=""27-1024""","Line Item","1.4","0.1","0.5","1.3","0.1","0.5","-0.1","-4.2","367","4"
"Media and communication workers","=""27-3000""","Summary","3.8","0.4","0.5","3.7","0.3","0.4","-0.1","-1.6","389","2"
"Public relations specialists","=""27-3031""","Line Item","1.1","0.1","0.4","1.1","0.1","0.3","0.0","0.8","392","3"
"Writers and editors","=""27-3040""","Summary","2.5","0.2","0.8","2.5","0.2","0.7","0.0","1.0","393","3"
"Editors","=""27-3041""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","-4.2","394","4"
"Technical writers","=""27-3042""","Line Item","2.3","0.2","4.3","2.4","0.2","4.1","0.0","1.7","395","4"
"Writers and authors","=""27-3043""","Line Item","0.1","0.0","0.1","0.1","0.0","0.0","0.0","-16.1","396","4"
"Miscellaneous media and communication workers","=""27-3090""","Summary","0.3","0.0","0.2","0.2","0.0","0.1","-0.1","-35.7","397","3"
"Media and communication workers, all other","=""27-3099""","Line Item","0.3","0.0","1.0","0.2","0.0","0.6","-0.1","-37.3","400","4"
"Media and communication equipment workers","=""27-4000""","Summary","0.7","0.1","0.2","0.6","0.1","0.1","-0.1","-15.8","401","2"
"Broadcast, sound, and lighting technicians","=""27-4010""","Summary","0.4","0.0","0.3","0.3","0.0","0.2","-0.1","-17.8","402","3"
"Audio and video technicians","=""27-4011""","Line Item","0.3","0.0","0.5","0.3","0.0","0.4","-0.1","-16.2","403","4"
"Photographers","=""27-4021""","Line Item","0.2","0.0","0.1","0.1","0.0","0.1","0.0","-21.9","407","3"
"Media and communication equipment workers, all other","=""27-4099""","Line Item","0.2","0.0","0.9","0.1","0.0","0.8","0.0","-4.4","411","3"
"Healthcare practitioners and technical occupations","=""29-0000""","Summary","0.5","0.0","0.0","0.5","0.0","0.0","0.0","1.2","412","1"
"Healthcare diagnosing or treating practitioners","=""29-1000""","Summary","0.3","0.0","0.0","0.3","0.0","0.0","0.0","1.6","413","2"
"Registered nurses","=""29-1141""","Line Item","0.1","0.0","0.0","0.1","0.0","0.0","0.0","3.9","436","3"
"Audiologists","=""29-1181""","Line Item","0.2","0.0","1.1","0.2","0.0","1.0","0.0","0.9","440","3"
"Health technologists and technicians","=""29-2000""","Summary","0.3","0.0","0.0","0.3","0.0","0.0","0.0","0.7","464","2"
"Clinical laboratory technologists and technicians","=""29-2010""","Line Item","0.1","0.0","0.0","0.1","0.0","0.0","0.0","0.3","465","3"
"Protective service occupations","=""33-0000""","Summary","1.0","0.1","0.0","0.9","0.1","0.0","-0.1","-5.1","522","1"
"Supervisors of protective service workers","=""33-1000""","Summary","0.1","0.0","0.0","0.1","0.0","0.0","0.0","-3.3","523","2"
"Miscellaneous first-line supervisors, protective service workers","=""33-1090""","Summary","0.1","0.0","0.1","0.1","0.0","0.1","0.0","-3.3","528","3"
"Other protective service workers","=""33-9000""","Summary","0.9","0.1","0.1","0.9","0.1","0.1","0.0","-5.3","546","2"
"Security guards and gambling surveillance officers","=""33-9030""","Summary","0.9","0.1","0.1","0.8","0.1","0.1","0.0","-5.7","549","3"
"Security guards","=""33-9032""","Line Item","0.9","0.1","0.1","0.8","0.1","0.1","0.0","-5.7","551","4"
"Food preparation and serving related occupations","=""35-0000""","Summary","0.2","0.0","0.0","0.2","0.0","0.0","0.0","0.8","558","1"
"Supervisors of food preparation and serving workers","=""35-1000""","Summary","0.1","0.0","0.0","0.1","0.0","0.0","0.0","0.8","559","2"
"Cooks and food preparation workers","=""35-2000""","Summary","0.1","0.0","0.0","0.1","0.0","0.0","0.0","0.8","562","2"
"Cooks","=""35-2010""","Summary","0.1","0.0","0.0","0.1","0.0","0.0","0.0","0.8","563","3"
"Building and grounds cleaning and maintenance occupations","=""37-0000""","Summary","3.1","0.3","0.1","3.2","0.3","0.1","0.1","4.3","581","1"
"Building cleaning and pest control workers","=""37-2000""","Summary","3.0","0.3","0.1","3.1","0.3","0.1","0.1","4.3","585","2"
"Building cleaning workers","=""37-2010""","Summary","3.0","0.3","0.1","3.1","0.3","0.1","0.1","4.3","586","3"
"Janitors and cleaners, except maids and housekeeping cleaners","=""37-2011""","Line Item","2.9","0.3","0.1","3.1","0.3","0.1","0.1","4.3","587","4"
"Grounds maintenance workers","=""37-3000""","Summary","0.1","0.0","0.0","0.1","0.0","0.0","0.0","2.8","591","2"
"Landscaping and groundskeeping workers","=""37-3011""","Line Item","0.1","0.0","0.0","0.1","0.0","0.0","0.0","2.8","592","3"
"Sales and related occupations","=""41-0000""","Summary","45.2","4.2","0.3","45.7","4.1","0.3","0.5","1.2","644","1"
"Supervisors of sales workers","=""41-1000""","Summary","1.7","0.2","0.1","1.7","0.2","0.1","0.0","1.2","645","2"
"First-line supervisors of non-retail sales workers","=""41-1012""","Line Item","1.7","0.2","0.5","1.7","0.2","0.5","0.0","1.3","647","3"
"Retail sales workers","=""41-2000""","Summary","0.5","0.0","0.0","0.5","0.0","0.0","0.0","-0.5","648","2"
"Retail salespersons","=""41-2031""","Line Item","0.5","0.0","0.0","0.5","0.0","0.0","0.0","-0.1","655","3"
"Sales representatives, services","=""41-3000""","Summary","2.3","0.2","0.1","2.3","0.2","0.1","0.0","-0.6","656","2"
"Sales representatives of services, except advertising, insurance, financial services, and travel","=""41-3091""","Line Item","2.3","0.2","0.2","2.3","0.2","0.2","0.0","-0.7","661","3"
"Sales representatives, wholesale and manufacturing","=""41-4000""","Summary","33.5","3.1","2.0","33.9","3.0","2.0","0.4","1.1","662","2"
"Sales representatives, wholesale and manufacturing, technical and scientific products","=""41-4011""","Line Item","17.1","1.6","5.6","17.2","1.5","5.4","0.2","0.9","663","3"
"Sales representatives, wholesale and manufacturing, except technical and scientific products","=""41-4012""","Line Item","16.4","1.5","1.2","16.6","1.5","1.2","0.2","1.3","664","3"
"Other sales and related workers","=""41-9000""","Summary","7.1","0.7","0.7","7.3","0.6","0.7","0.2","2.2","665","2"
"Sales engineers","=""41-9031""","Line Item","5.8","0.5","9.5","5.9","0.5","9.3","0.1","2.5","672","3"
"Miscellaneous sales and related workers","=""41-9090""","Summary","1.2","0.1","0.7","1.3","0.1","0.7","0.0","1.8","674","3"
"Sales and related workers, all other","=""41-9099""","Line Item","1.2","0.1","0.9","1.3","0.1","0.9","0.0","1.8","676","4"
"Office and administrative support occupations","=""43-0000""","Summary","82.2","7.6","0.4","75.6","6.8","0.4","-6.5","-8.0","677","1"
"Supervisors of office and administrative support workers","=""43-1000""","Summary","5.7","0.5","0.4","5.2","0.5","0.4","-0.5","-8.3","678","2"
"First-line supervisors of office and administrative support workers","=""43-1011""","Line Item","5.7","0.5","0.4","5.2","0.5","0.4","-0.5","-8.3","679","3"
"Financial clerks","=""43-3000""","Summary","10.6","1.0","0.3","9.7","0.9","0.3","-0.9","-8.6","684","2"
"Bill and account collectors","=""43-3011""","Line Item","0.4","0.0","0.2","0.4","0.0","0.2","0.0","-9.0","685","3"
"Billing and posting clerks","=""43-3021""","Line Item","1.3","0.1","0.3","1.2","0.1","0.3","-0.1","-8.2","686","3"
"Bookkeeping, accounting, and auditing clerks","=""43-3031""","Line Item","7.3","0.7","0.4","6.7","0.6","0.4","-0.6","-8.2","687","3"
"Payroll and timekeeping clerks","=""43-3051""","Line Item","0.5","0.0","0.3","0.4","0.0","0.3","-0.1","-17.8","689","3"
"Procurement clerks","=""43-3061""","Line Item","1.0","0.1","1.6","1.0","0.1","1.6","-0.1","-6.6","690","3"
"Information and record clerks","=""43-4000""","Summary","17.8","1.6","0.3","16.0","1.4","0.3","-1.8","-10.1","693","2"
"Customer service representatives","=""43-4051""","Line Item","14.0","1.3","0.5","12.7","1.1","0.4","-1.3","-9.3","698","3"
"File clerks","=""43-4071""","Line Item","0.3","0.0","0.3","0.2","0.0","0.3","0.0","-17.0","700","3"
"Order clerks","=""43-4151""","Line Item","1.5","0.1","1.2","1.3","0.1","1.2","-0.3","-19.0","706","3"
"Human resources assistants, except payroll and timekeeping","=""43-4161""","Line Item","1.0","0.1","0.9","0.9","0.1","0.9","-0.1","-7.3","707","3"
